input_prompt,response,category,context
How can I get over upset?,[Response Placeholder],Self-Esteem,Self-Worth
How do I deal with nervous?,[Response Placeholder],Depression,Regret
How can I get over anxious?,[Response Placeholder],Depression,Procrastination
Why does stressed feel so overwhelming?,[Response Placeholder],Grief,Insomnia
What should I do when overwhelmed?,[Response Placeholder],Social Anxiety,Overthinking
How can I cope with worried?,[Response Placeholder],Stress,Perfectionism
How can I get over angry?,[Response Placeholder],Anger,Future Uncertainty
I can't stop feeling lonely. What should I do?,[Response Placeholder],Burnout,Overthinking
What are some ways to manage unloved?,[Response Placeholder],Relationship Issues,Social Isolation
Can you help me with worthless?,[Response Placeholder],Sadness,Decision-Making
How can I get over guilty?,[Response Placeholder],Guilt,Social Isolation
Can you help me with overwhelmed?,[Response Placeholder],Panic Attacks,Decision-Making
How can I cope with overwhelmed?,[Response Placeholder],Sadness,Regret
Can you help me with unloved?,[Response Placeholder],Panic Attacks,Emotional Exhaustion
How can I cope with stressed?,[Response Placeholder],Sleep Problems,Regret
Why do I feel nervous?,[Response Placeholder],Sleep Problems,Trouble Concentrating
Why does nervous feel so overwhelming?,[Response Placeholder],Panic Attacks,Perfectionism
Why does anxious feel so overwhelming?,[Response Placeholder],Fear,Feeling Unsupported
How do I stop upset?,[Response Placeholder],Anxiety,Feeling Unsupported
How can I cope with fearful?,[Response Placeholder],Sadness,Trouble Concentrating
Why do I feel hopeless?,[Response Placeholder],Fear,Perfectionism
Can you help me with lonely?,[Response Placeholder],Sadness,Future Uncertainty
How do I stop nervous?,[Response Placeholder],Stress,Emotional Exhaustion
Why do I always feel worried?,[Response Placeholder],Sadness,Overthinking
How do I deal with stressed?,[Response Placeholder],Guilt,Fear of Rejection
Why does hopeless feel so overwhelming?,[Response Placeholder],Self-Esteem,Future Uncertainty
Why do I feel upset?,[Response Placeholder],Stress,Self-Worth
Why do I always feel insecure?,[Response Placeholder],Social Anxiety,Regret
What are some ways to manage stressed?,[Response Placeholder],Grief,Social Isolation
Why do I always feel upset?,[Response Placeholder],Guilt,Trouble Concentrating
I'm struggling with stressed. Can you help?,[Response Placeholder],Anger,Trouble Concentrating
What are some ways to manage guilty?,[Response Placeholder],Anxiety,Regret
Why does hopeless feel so overwhelming?,[Response Placeholder],Relationship Issues,Emotional Exhaustion
I can't stop feeling fearful. What should I do?,[Response Placeholder],Anger,Overthinking
How can I cope with worried?,[Response Placeholder],Grief,Fear of Rejection
What can I do when lonely affects me?,[Response Placeholder],Grief,Insomnia
I can't stop feeling angry. What should I do?,[Response Placeholder],Fear,Procrastination
How can I handle worried in my life?,[Response Placeholder],Depression,Future Uncertainty
What can I do when I'm feeling stressed?,[Response Placeholder],Social Anxiety,Emotional Exhaustion
Why does stressed feel so overwhelming?,[Response Placeholder],Fear,Overthinking
How can I get over unloved?,[Response Placeholder],Depression,Work Stress
What are some ways to manage anxious?,[Response Placeholder],Sleep Problems,Procrastination
How can I cope with guilty?,[Response Placeholder],Anxiety,Feeling Unsupported
What should I do when lonely?,[Response Placeholder],Guilt,Procrastination
Why do I feel hopeless?,[Response Placeholder],Grief,Social Isolation
What can I do when I'm feeling fearful?,[Response Placeholder],Relationship Issues,Feeling Unsupported
What can I do when I'm feeling insecure?,[Response Placeholder],Loneliness,Feeling Unsupported
I'm struggling with anxious. Can you help?,[Response Placeholder],Self-Esteem,Emotional Exhaustion
Why does hopeless feel so overwhelming?,[Response Placeholder],Sleep Problems,Emotional Exhaustion
I'm struggling with sad. Can you help?,[Response Placeholder],Self-Esteem,Feeling Unsupported
What can I do when anxious affects me?,[Response Placeholder],Fear,Fear of Rejection
How do I stop unloved?,[Response Placeholder],Loneliness,Overthinking
I'm struggling with angry. Can you help?,[Response Placeholder],Loneliness,Work Stress
What should I do when stressed?,[Response Placeholder],Burnout,Future Uncertainty
What can I do when hopeless affects me?,[Response Placeholder],Loneliness,Regret
Why does worthless feel so overwhelming?,[Response Placeholder],Stress,Insomnia
What are some ways to manage upset?,[Response Placeholder],Stress,Work Stress
What are some ways to manage worried?,[Response Placeholder],Guilt,Work Stress
Why do I always feel guilty?,[Response Placeholder],Burnout,Insomnia
Can you help me with guilty?,[Response Placeholder],Sleep Problems,Emotional Exhaustion
Why does overwhelmed feel so overwhelming?,[Response Placeholder],Fear,Overthinking
What should I do when upset?,[Response Placeholder],Sleep Problems,Procrastination
What can I do when insecure affects me?,[Response Placeholder],Sadness,Work Stress
How do I stop anxious?,[Response Placeholder],Sadness,Overthinking
What can I do when I'm feeling nervous?,[Response Placeholder],Burnout,Social Isolation
How can I get over upset?,[Response Placeholder],Social Anxiety,Self-Worth
I'm struggling with overwhelmed. Can you help?,[Response Placeholder],Stress,Insomnia
Why does fearful feel so overwhelming?,[Response Placeholder],Relationship Issues,Emotional Exhaustion
How can I handle upset in my life?,[Response Placeholder],Relationship Issues,Insomnia
I'm struggling with sad. Can you help?,[Response Placeholder],Panic Attacks,Perfectionism
Can you help me with upset?,[Response Placeholder],Guilt,Insomnia
I can't stop feeling nervous. What should I do?,[Response Placeholder],Grief,Feeling Unsupported
I can't stop feeling unloved. What should I do?,[Response Placeholder],Panic Attacks,Trouble Concentrating
How can I handle upset in my life?,[Response Placeholder],Burnout,Work Stress
What can I do when angry affects me?,[Response Placeholder],Stress,Perfectionism
What should I do when overwhelmed?,[Response Placeholder],Guilt,Self-Worth
How can I cope with upset?,[Response Placeholder],Grief,Self-Worth
Why does angry feel so overwhelming?,[Response Placeholder],Stress,Emotional Exhaustion
Can you help me with guilty?,[Response Placeholder],Anxiety,Decision-Making
I can't stop feeling sad. What should I do?,[Response Placeholder],Guilt,Trouble Concentrating
What can I do when sad affects me?,[Response Placeholder],Stress,Trouble Concentrating
I'm struggling with nervous. Can you help?,[Response Placeholder],Guilt,Decision-Making
Why does overwhelmed feel so overwhelming?,[Response Placeholder],Anger,Fear of Rejection
Why does sad feel so overwhelming?,[Response Placeholder],Panic Attacks,Procrastination
I can't stop feeling angry. What should I do?,[Response Placeholder],Stress,Perfectionism
What can I do when nervous affects me?,[Response Placeholder],Sadness,Fear of Rejection
I can't stop feeling worthless. What should I do?,[Response Placeholder],Stress,Feeling Unsupported
How can I cope with hopeless?,[Response Placeholder],Sleep Problems,Emotional Exhaustion
Can you help me with fearful?,[Response Placeholder],Anger,Self-Worth
Why do I feel worried?,[Response Placeholder],Guilt,Perfectionism
Why do I always feel unloved?,[Response Placeholder],Panic Attacks,Social Isolation
What can I do when anxious affects me?,[Response Placeholder],Anger,Regret
Can you help me with unloved?,[Response Placeholder],Panic Attacks,Self-Worth
How can I handle anxious in my life?,[Response Placeholder],Depression,Regret
How can I get over angry?,[Response Placeholder],Burnout,Perfectionism
How do I deal with insecure?,[Response Placeholder],Social Anxiety,Emotional Exhaustion
Why does overwhelmed feel so overwhelming?,[Response Placeholder],Relationship Issues,Self-Worth
How can I handle anxious in my life?,[Response Placeholder],Loneliness,Fear of Rejection
What should I do when fearful?,[Response Placeholder],Social Anxiety,Body Image Issues
Why do I always feel overwhelmed?,[Response Placeholder],Stress,Social Isolation
Why do I always feel sad?,[Response Placeholder],Social Anxiety,Self-Worth
What can I do when sad affects me?,[Response Placeholder],Sadness,Social Isolation
How can I cope with anxious?,[Response Placeholder],Social Anxiety,Future Uncertainty
What can I do when stressed affects me?,[Response Placeholder],Depression,Future Uncertainty
Can you help me with hopeless?,[Response Placeholder],Depression,Feeling Unsupported
How do I stop hopeless?,[Response Placeholder],Sleep Problems,Emotional Exhaustion
Why do I feel upset?,[Response Placeholder],Social Anxiety,Emotional Exhaustion
What should I do when sad?,[Response Placeholder],Loneliness,Social Isolation
How can I cope with upset?,[Response Placeholder],Guilt,Self-Worth
What are some ways to manage guilty?,[Response Placeholder],Depression,Self-Worth
Can you help me with worried?,[Response Placeholder],Loneliness,Overthinking
What can I do when fearful affects me?,[Response Placeholder],Fear,Emotional Exhaustion
What can I do when worried affects me?,[Response Placeholder],Anger,Decision-Making
How can I handle angry in my life?,[Response Placeholder],Burnout,Trouble Concentrating
How can I cope with overwhelmed?,[Response Placeholder],Self-Esteem,Body Image Issues
How do I deal with overwhelmed?,[Response Placeholder],Guilt,Future Uncertainty
Why do I always feel upset?,[Response Placeholder],Sadness,Emotional Exhaustion
Why does overwhelmed feel so overwhelming?,[Response Placeholder],Stress,Procrastination
I'm struggling with lonely. Can you help?,[Response Placeholder],Self-Esteem,Decision-Making
How do I deal with sad?,[Response Placeholder],Depression,Self-Worth
Can you help me with unloved?,[Response Placeholder],Relationship Issues,Future Uncertainty
Why does sad feel so overwhelming?,[Response Placeholder],Loneliness,Body Image Issues
How do I stop unloved?,[Response Placeholder],Sadness,Social Isolation
Why does worried feel so overwhelming?,[Response Placeholder],Loneliness,Insomnia
How can I cope with nervous?,[Response Placeholder],Burnout,Perfectionism
What should I do when lonely?,[Response Placeholder],Anger,Perfectionism
I'm struggling with nervous. Can you help?,[Response Placeholder],Grief,Procrastination
What are some ways to manage hopeless?,[Response Placeholder],Self-Esteem,Social Isolation
Can you help me with worried?,[Response Placeholder],Guilt,Insomnia
Why does fearful feel so overwhelming?,[Response Placeholder],Fear,Overthinking
How can I cope with guilty?,[Response Placeholder],Social Anxiety,Emotional Exhaustion
Why do I always feel anxious?,[Response Placeholder],Depression,Work Stress
What can I do when I'm feeling guilty?,[Response Placeholder],Burnout,Future Uncertainty
What should I do when worthless?,[Response Placeholder],Depression,Feeling Unsupported
What can I do when fearful affects me?,[Response Placeholder],Guilt,Decision-Making
What can I do when angry affects me?,[Response Placeholder],Sadness,Regret
What should I do when unloved?,[Response Placeholder],Relationship Issues,Emotional Exhaustion
How do I stop angry?,[Response Placeholder],Relationship Issues,Perfectionism
What are some ways to manage nervous?,[Response Placeholder],Sleep Problems,Future Uncertainty
How can I handle stressed in my life?,[Response Placeholder],Guilt,Social Isolation
What are some ways to manage hopeless?,[Response Placeholder],Anxiety,Overthinking
How can I cope with fearful?,[Response Placeholder],Loneliness,Emotional Exhaustion
How do I deal with sad?,[Response Placeholder],Loneliness,Emotional Exhaustion
Why do I feel guilty?,[Response Placeholder],Social Anxiety,Procrastination
What can I do when hopeless affects me?,[Response Placeholder],Loneliness,Emotional Exhaustion
What should I do when overwhelmed?,[Response Placeholder],Burnout,Insomnia
How do I stop hopeless?,[Response Placeholder],Self-Esteem,Emotional Exhaustion
How do I deal with unloved?,[Response Placeholder],Anger,Emotional Exhaustion
I'm struggling with anxious. Can you help?,[Response Placeholder],Sadness,Emotional Exhaustion
What can I do when I'm feeling anxious?,[Response Placeholder],Burnout,Fear of Rejection
What should I do when hopeless?,[Response Placeholder],Social Anxiety,Decision-Making
How can I cope with angry?,[Response Placeholder],Guilt,Regret
What can I do when overwhelmed affects me?,[Response Placeholder],Anxiety,Emotional Exhaustion
How can I cope with hopeless?,[Response Placeholder],Sleep Problems,Procrastination
How do I stop worried?,[Response Placeholder],Anger,Body Image Issues
How can I handle nervous in my life?,[Response Placeholder],Anger,Decision-Making
Why do I always feel overwhelmed?,[Response Placeholder],Relationship Issues,Regret
What can I do when I'm feeling worried?,[Response Placeholder],Social Anxiety,Social Isolation
What can I do when hopeless affects me?,[Response Placeholder],Fear,Social Isolation
I can't stop feeling overwhelmed. What should I do?,[Response Placeholder],Stress,Fear of Rejection
Why do I feel angry?,[Response Placeholder],Social Anxiety,Feeling Unsupported
What can I do when I'm feeling upset?,[Response Placeholder],Panic Attacks,Perfectionism
What are some ways to manage guilty?,[Response Placeholder],Relationship Issues,Insomnia
How do I deal with upset?,[Response Placeholder],Burnout,Decision-Making
How can I cope with hopeless?,[Response Placeholder],Anger,Decision-Making
How do I deal with upset?,[Response Placeholder],Depression,Work Stress
How do I stop hopeless?,[Response Placeholder],Fear,Regret
What can I do when upset affects me?,[Response Placeholder],Depression,Feeling Unsupported
Why do I always feel angry?,[Response Placeholder],Guilt,Procrastination
Why does nervous feel so overwhelming?,[Response Placeholder],Loneliness,Trouble Concentrating
What should I do when angry?,[Response Placeholder],Anger,Feeling Unsupported
Why does worried feel so overwhelming?,[Response Placeholder],Anger,Procrastination
What are some ways to manage guilty?,[Response Placeholder],Burnout,Procrastination
I'm struggling with guilty. Can you help?,[Response Placeholder],Grief,Decision-Making
Why does unloved feel so overwhelming?,[Response Placeholder],Relationship Issues,Overthinking
How can I cope with worthless?,[Response Placeholder],Guilt,Fear of Rejection
What should I do when worried?,[Response Placeholder],Panic Attacks,Decision-Making
Why does upset feel so overwhelming?,[Response Placeholder],Loneliness,Social Isolation
What can I do when I'm feeling hopeless?,[Response Placeholder],Depression,Insomnia
Why do I feel hopeless?,[Response Placeholder],Self-Esteem,Procrastination
How can I handle lonely in my life?,[Response Placeholder],Grief,Perfectionism
What can I do when hopeless affects me?,[Response Placeholder],Loneliness,Fear of Rejection
Why do I feel stressed?,[Response Placeholder],Anxiety,Work Stress
Why do I feel fearful?,[Response Placeholder],Burnout,Work Stress
Why do I always feel nervous?,[Response Placeholder],Stress,Work Stress
What can I do when fearful affects me?,[Response Placeholder],Relationship Issues,Work Stress
What can I do when I'm feeling sad?,[Response Placeholder],Fear,Emotional Exhaustion
Why do I feel anxious?,[Response Placeholder],Stress,Feeling Unsupported
How can I cope with guilty?,[Response Placeholder],Panic Attacks,Insomnia
Why does worried feel so overwhelming?,[Response Placeholder],Sleep Problems,Emotional Exhaustion
What can I do when guilty affects me?,[Response Placeholder],Sleep Problems,Decision-Making
Why does anxious feel so overwhelming?,[Response Placeholder],Relationship Issues,Self-Worth
How do I stop worried?,[Response Placeholder],Loneliness,Insomnia
What can I do when overwhelmed affects me?,[Response Placeholder],Social Anxiety,Social Isolation
What can I do when I'm feeling hopeless?,[Response Placeholder],Relationship Issues,Fear of Rejection
What are some ways to manage insecure?,[Response Placeholder],Relationship Issues,Self-Worth
Why do I always feel worried?,[Response Placeholder],Anxiety,Social Isolation
How can I cope with sad?,[Response Placeholder],Self-Esteem,Insomnia
Why does lonely feel so overwhelming?,[Response Placeholder],Anxiety,Regret
What can I do when I'm feeling fearful?,[Response Placeholder],Sleep Problems,Self-Worth
Why do I feel lonely?,[Response Placeholder],Grief,Emotional Exhaustion
Why do I always feel angry?,[Response Placeholder],Sleep Problems,Insomnia
Why do I always feel insecure?,[Response Placeholder],Loneliness,Procrastination
What can I do when angry affects me?,[Response Placeholder],Relationship Issues,Regret
Can you help me with guilty?,[Response Placeholder],Burnout,Regret
How can I cope with stressed?,[Response Placeholder],Panic Attacks,Perfectionism
What can I do when I'm feeling sad?,[Response Placeholder],Fear,Feeling Unsupported
I can't stop feeling anxious. What should I do?,[Response Placeholder],Fear,Decision-Making
How can I get over anxious?,[Response Placeholder],Grief,Social Isolation
Why does upset feel so overwhelming?,[Response Placeholder],Burnout,Insomnia
Can you help me with fearful?,[Response Placeholder],Social Anxiety,Regret
How do I deal with sad?,[Response Placeholder],Panic Attacks,Regret
Why do I always feel guilty?,[Response Placeholder],Self-Esteem,Procrastination
Why does nervous feel so overwhelming?,[Response Placeholder],Burnout,Body Image Issues
Can you help me with worried?,[Response Placeholder],Relationship Issues,Overthinking
I can't stop feeling insecure. What should I do?,[Response Placeholder],Self-Esteem,Decision-Making
What should I do when fearful?,[Response Placeholder],Relationship Issues,Emotional Exhaustion
How can I cope with lonely?,[Response Placeholder],Relationship Issues,Social Isolation
Why do I always feel overwhelmed?,[Response Placeholder],Grief,Emotional Exhaustion
How can I get over upset?,[Response Placeholder],Self-Esteem,Fear of Rejection
Why do I feel upset?,[Response Placeholder],Anxiety,Self-Worth
Why does worried feel so overwhelming?,[Response Placeholder],Sleep Problems,Overthinking
What can I do when lonely affects me?,[Response Placeholder],Panic Attacks,Regret
How can I cope with worried?,[Response Placeholder],Sleep Problems,Emotional Exhaustion
What should I do when guilty?,[Response Placeholder],Social Anxiety,Self-Worth
Why do I always feel insecure?,[Response Placeholder],Depression,Emotional Exhaustion
Why does upset feel so overwhelming?,[Response Placeholder],Loneliness,Decision-Making
How do I deal with angry?,[Response Placeholder],Loneliness,Fear of Rejection
How can I cope with sad?,[Response Placeholder],Anger,Emotional Exhaustion
What are some ways to manage stressed?,[Response Placeholder],Self-Esteem,Feeling Unsupported
What can I do when I'm feeling worried?,[Response Placeholder],Relationship Issues,Decision-Making
How do I stop angry?,[Response Placeholder],Sadness,Fear of Rejection
Why does sad feel so overwhelming?,[Response Placeholder],Fear,Work Stress
How do I deal with stressed?,[Response Placeholder],Sadness,Procrastination
I'm struggling with lonely. Can you help?,[Response Placeholder],Loneliness,Body Image Issues
Why do I always feel hopeless?,[Response Placeholder],Burnout,Fear of Rejection
How can I get over anxious?,[Response Placeholder],Social Anxiety,Work Stress
How can I handle overwhelmed in my life?,[Response Placeholder],Guilt,Procrastination
What are some ways to manage nervous?,[Response Placeholder],Panic Attacks,Emotional Exhaustion
What are some ways to manage overwhelmed?,[Response Placeholder],Guilt,Trouble Concentrating
I can't stop feeling insecure. What should I do?,[Response Placeholder],Relationship Issues,Work Stress
How can I cope with anxious?,[Response Placeholder],Fear,Feeling Unsupported
What should I do when stressed?,[Response Placeholder],Loneliness,Future Uncertainty
I'm struggling with upset. Can you help?,[Response Placeholder],Loneliness,Trouble Concentrating
How can I cope with worried?,[Response Placeholder],Loneliness,Procrastination
What can I do when guilty affects me?,[Response Placeholder],Burnout,Body Image Issues
What can I do when I'm feeling nervous?,[Response Placeholder],Stress,Feeling Unsupported
What can I do when anxious affects me?,[Response Placeholder],Fear,Perfectionism
I'm struggling with unloved. Can you help?,[Response Placeholder],Depression,Overthinking
What should I do when unloved?,[Response Placeholder],Stress,Body Image Issues
Why do I feel nervous?,[Response Placeholder],Sadness,Social Isolation
What should I do when worried?,[Response Placeholder],Guilt,Emotional Exhaustion
How can I get over anxious?,[Response Placeholder],Fear,Self-Worth
What can I do when insecure affects me?,[Response Placeholder],Panic Attacks,Overthinking
What can I do when I'm feeling sad?,[Response Placeholder],Stress,Perfectionism
What should I do when nervous?,[Response Placeholder],Guilt,Regret
What should I do when guilty?,[Response Placeholder],Anger,Future Uncertainty
How can I handle fearful in my life?,[Response Placeholder],Self-Esteem,Future Uncertainty
What can I do when lonely affects me?,[Response Placeholder],Depression,Overthinking
What can I do when I'm feeling anxious?,[Response Placeholder],Loneliness,Fear of Rejection
How can I get over angry?,[Response Placeholder],Stress,Regret
How do I stop upset?,[Response Placeholder],Sadness,Perfectionism
Why do I feel sad?,[Response Placeholder],Loneliness,Overthinking
How do I stop worried?,[Response Placeholder],Burnout,Feeling Unsupported
I'm struggling with lonely. Can you help?,[Response Placeholder],Anger,Insomnia
I can't stop feeling guilty. What should I do?,[Response Placeholder],Sadness,Emotional Exhaustion
How can I cope with hopeless?,[Response Placeholder],Depression,Trouble Concentrating
What should I do when stressed?,[Response Placeholder],Guilt,Overthinking
I can't stop feeling nervous. What should I do?,[Response Placeholder],Anxiety,Trouble Concentrating
What should I do when lonely?,[Response Placeholder],Depression,Work Stress
How do I stop worried?,[Response Placeholder],Loneliness,Social Isolation
How can I get over upset?,[Response Placeholder],Depression,Procrastination
Why does angry feel so overwhelming?,[Response Placeholder],Self-Esteem,Procrastination
How can I get over worthless?,[Response Placeholder],Relationship Issues,Perfectionism
Why do I always feel stressed?,[Response Placeholder],Self-Esteem,Work Stress
Why does nervous feel so overwhelming?,[Response Placeholder],Relationship Issues,Body Image Issues
I'm struggling with insecure. Can you help?,[Response Placeholder],Relationship Issues,Trouble Concentrating
I'm struggling with stressed. Can you help?,[Response Placeholder],Relationship Issues,Perfectionism
How do I stop stressed?,[Response Placeholder],Panic Attacks,Social Isolation
Why does stressed feel so overwhelming?,[Response Placeholder],Anxiety,Feeling Unsupported
What can I do when stressed affects me?,[Response Placeholder],Stress,Future Uncertainty
I'm struggling with upset. Can you help?,[Response Placeholder],Grief,Self-Worth
Why do I feel worried?,[Response Placeholder],Sleep Problems,Decision-Making
Why do I feel insecure?,[Response Placeholder],Burnout,Overthinking
What can I do when I'm feeling insecure?,[Response Placeholder],Grief,Work Stress
How can I get over lonely?,[Response Placeholder],Grief,Future Uncertainty
What are some ways to manage worried?,[Response Placeholder],Relationship Issues,Fear of Rejection
How do I deal with guilty?,[Response Placeholder],Social Anxiety,Overthinking
How can I handle overwhelmed in my life?,[Response Placeholder],Sleep Problems,Fear of Rejection
What should I do when worthless?,[Response Placeholder],Burnout,Body Image Issues
How do I stop upset?,[Response Placeholder],Fear,Insomnia
How do I deal with upset?,[Response Placeholder],Sadness,Procrastination
What can I do when hopeless affects me?,[Response Placeholder],Depression,Feeling Unsupported
I can't stop feeling insecure. What should I do?,[Response Placeholder],Social Anxiety,Future Uncertainty
I'm struggling with anxious. Can you help?,[Response Placeholder],Self-Esteem,Decision-Making
Why does insecure feel so overwhelming?,[Response Placeholder],Relationship Issues,Body Image Issues
What can I do when guilty affects me?,[Response Placeholder],Anger,Procrastination
I'm struggling with unloved. Can you help?,[Response Placeholder],Social Anxiety,Feeling Unsupported
Why does sad feel so overwhelming?,[Response Placeholder],Panic Attacks,Feeling Unsupported
How can I cope with unloved?,[Response Placeholder],Panic Attacks,Decision-Making
Can you help me with lonely?,[Response Placeholder],Guilt,Procrastination
How can I cope with guilty?,[Response Placeholder],Self-Esteem,Insomnia
What can I do when worried affects me?,[Response Placeholder],Panic Attacks,Trouble Concentrating
I can't stop feeling sad. What should I do?,[Response Placeholder],Fear,Emotional Exhaustion
What can I do when anxious affects me?,[Response Placeholder],Self-Esteem,Overthinking
How can I cope with sad?,[Response Placeholder],Fear,Perfectionism
I'm struggling with lonely. Can you help?,[Response Placeholder],Social Anxiety,Perfectionism
Why do I always feel fearful?,[Response Placeholder],Stress,Procrastination
Can you help me with lonely?,[Response Placeholder],Sleep Problems,Fear of Rejection
I'm struggling with upset. Can you help?,[Response Placeholder],Relationship Issues,Work Stress
Why does overwhelmed feel so overwhelming?,[Response Placeholder],Sadness,Work Stress
Can you help me with guilty?,[Response Placeholder],Panic Attacks,Insomnia
Can you help me with fearful?,[Response Placeholder],Sleep Problems,Self-Worth
Why do I always feel lonely?,[Response Placeholder],Loneliness,Feeling Unsupported
I can't stop feeling hopeless. What should I do?,[Response Placeholder],Guilt,Fear of Rejection
What can I do when I'm feeling worthless?,[Response Placeholder],Sadness,Emotional Exhaustion
How can I get over overwhelmed?,[Response Placeholder],Relationship Issues,Regret
How can I cope with worthless?,[Response Placeholder],Sadness,Future Uncertainty
What are some ways to manage stressed?,[Response Placeholder],Sleep Problems,Social Isolation
Why do I always feel nervous?,[Response Placeholder],Self-Esteem,Work Stress
What can I do when anxious affects me?,[Response Placeholder],Social Anxiety,Future Uncertainty
Can you help me with sad?,[Response Placeholder],Depression,Perfectionism
How can I cope with sad?,[Response Placeholder],Guilt,Perfectionism
How can I handle anxious in my life?,[Response Placeholder],Loneliness,Insomnia
What can I do when guilty affects me?,[Response Placeholder],Social Anxiety,Decision-Making
How can I get over insecure?,[Response Placeholder],Grief,Work Stress
Why do I always feel lonely?,[Response Placeholder],Guilt,Feeling Unsupported
What can I do when angry affects me?,[Response Placeholder],Anxiety,Decision-Making
What are some ways to manage sad?,[Response Placeholder],Loneliness,Feeling Unsupported
Can you help me with unloved?,[Response Placeholder],Depression,Insomnia
Can you help me with worried?,[Response Placeholder],Relationship Issues,Emotional Exhaustion
How can I handle guilty in my life?,[Response Placeholder],Sadness,Trouble Concentrating
How do I deal with overwhelmed?,[Response Placeholder],Fear,Decision-Making
Why does hopeless feel so overwhelming?,[Response Placeholder],Depression,Future Uncertainty
What can I do when upset affects me?,[Response Placeholder],Social Anxiety,Future Uncertainty
What are some ways to manage nervous?,[Response Placeholder],Stress,Future Uncertainty
How do I deal with sad?,[Response Placeholder],Stress,Regret
How can I cope with worried?,[Response Placeholder],Relationship Issues,Perfectionism
What can I do when I'm feeling guilty?,[Response Placeholder],Guilt,Emotional Exhaustion
How do I stop worthless?,[Response Placeholder],Guilt,Social Isolation
Why do I always feel lonely?,[Response Placeholder],Panic Attacks,Social Isolation
What are some ways to manage worthless?,[Response Placeholder],Loneliness,Future Uncertainty
I'm struggling with insecure. Can you help?,[Response Placeholder],Guilt,Future Uncertainty
Can you help me with nervous?,[Response Placeholder],Stress,Self-Worth
How can I handle stressed in my life?,[Response Placeholder],Self-Esteem,Emotional Exhaustion
Why do I feel overwhelmed?,[Response Placeholder],Stress,Social Isolation
What are some ways to manage fearful?,[Response Placeholder],Anger,Fear of Rejection
Can you help me with angry?,[Response Placeholder],Fear,Work Stress
What should I do when worried?,[Response Placeholder],Sleep Problems,Perfectionism
Why do I feel fearful?,[Response Placeholder],Panic Attacks,Regret
Can you help me with nervous?,[Response Placeholder],Anxiety,Regret
How can I cope with insecure?,[Response Placeholder],Anxiety,Perfectionism
What should I do when anxious?,[Response Placeholder],Stress,Emotional Exhaustion
How do I stop hopeless?,[Response Placeholder],Anger,Overthinking
What should I do when worried?,[Response Placeholder],Anger,Work Stress
What are some ways to manage worried?,[Response Placeholder],Stress,Decision-Making
I can't stop feeling angry. What should I do?,[Response Placeholder],Burnout,Feeling Unsupported
I can't stop feeling worthless. What should I do?,[Response Placeholder],Panic Attacks,Perfectionism
What can I do when I'm feeling insecure?,[Response Placeholder],Burnout,Fear of Rejection
I can't stop feeling insecure. What should I do?,[Response Placeholder],Grief,Self-Worth
How do I deal with fearful?,[Response Placeholder],Fear,Insomnia
How do I stop insecure?,[Response Placeholder],Burnout,Feeling Unsupported
Why do I always feel fearful?,[Response Placeholder],Guilt,Regret
What can I do when guilty affects me?,[Response Placeholder],Relationship Issues,Feeling Unsupported
Why do I always feel angry?,[Response Placeholder],Guilt,Future Uncertainty
What are some ways to manage sad?,[Response Placeholder],Self-Esteem,Procrastination
How can I handle anxious in my life?,[Response Placeholder],Relationship Issues,Future Uncertainty
How can I get over unloved?,[Response Placeholder],Guilt,Regret
How do I stop fearful?,[Response Placeholder],Sadness,Perfectionism
What can I do when insecure affects me?,[Response Placeholder],Loneliness,Body Image Issues
What can I do when I'm feeling stressed?,[Response Placeholder],Social Anxiety,Fear of Rejection
Can you help me with upset?,[Response Placeholder],Sleep Problems,Overthinking
How do I stop insecure?,[Response Placeholder],Panic Attacks,Emotional Exhaustion
How do I stop insecure?,[Response Placeholder],Panic Attacks,Perfectionism
How can I cope with worried?,[Response Placeholder],Anxiety,Work Stress
Why does hopeless feel so overwhelming?,[Response Placeholder],Relationship Issues,Body Image Issues
How can I get over insecure?,[Response Placeholder],Depression,Future Uncertainty
Why do I feel unloved?,[Response Placeholder],Guilt,Social Isolation
Why do I feel unloved?,[Response Placeholder],Anxiety,Emotional Exhaustion
What can I do when fearful affects me?,[Response Placeholder],Self-Esteem,Procrastination
What are some ways to manage angry?,[Response Placeholder],Fear,Insomnia
How can I cope with worthless?,[Response Placeholder],Anger,Trouble Concentrating
What should I do when worthless?,[Response Placeholder],Anger,Overthinking
What should I do when guilty?,[Response Placeholder],Depression,Trouble Concentrating
Can you help me with angry?,[Response Placeholder],Panic Attacks,Future Uncertainty
How can I cope with upset?,[Response Placeholder],Panic Attacks,Emotional Exhaustion
I'm struggling with upset. Can you help?,[Response Placeholder],Stress,Overthinking
How do I stop nervous?,[Response Placeholder],Stress,Overthinking
How do I deal with guilty?,[Response Placeholder],Grief,Fear of Rejection
How do I stop fearful?,[Response Placeholder],Loneliness,Feeling Unsupported
Why does upset feel so overwhelming?,[Response Placeholder],Depression,Trouble Concentrating
What should I do when sad?,[Response Placeholder],Anxiety,Fear of Rejection
What should I do when lonely?,[Response Placeholder],Fear,Self-Worth
Can you help me with hopeless?,[Response Placeholder],Guilt,Fear of Rejection
What can I do when I'm feeling hopeless?,[Response Placeholder],Anger,Trouble Concentrating
How can I get over insecure?,[Response Placeholder],Fear,Feeling Unsupported
